field_name,valueset_item,valueset_item_descriptor
RESULT_UNIT,%,%=percent
RESULT_UNIT,%{abnormal},%{abnormal}=percent abnormal
RESULT_UNIT,%{activity},%{activity}=percent activity
RESULT_UNIT,%{aggregation},%{aggregation}=percent aggregation
RESULT_UNIT,%{at_60_min},%{at_60_min}=percent at 60 minute
RESULT_UNIT,%{bacteria},%{bacteria}=percent of bacteria
RESULT_UNIT,%{basal_activity},%{basal_activity}=percent basal activity
RESULT_UNIT,%{baseline},%{baseline}=percent of baseline
RESULT_UNIT,%{binding},%{binding}=percent binding
RESULT_UNIT,%{blockade},%{blockade}=percent blockade
RESULT_UNIT,%{blocked},%{blocked}=percent blocked
RESULT_UNIT,%{bound},%{bound}=percent bound
RESULT_UNIT,%{breakdown},%{breakdown}=percent breakdown
RESULT_UNIT,%{cells},%{cells}=percent of cells
RESULT_UNIT,%{deficient},%{deficient}=percent deficient
RESULT_UNIT,%{dose},%{dose}=percent dose
RESULT_UNIT,%{excretion},%{excretion}=percent excretion
RESULT_UNIT,%{Hb},%{Hb}=percent hemoglobin
RESULT_UNIT,%{hemolysis},%{hemolysis}=percent hemolysis
RESULT_UNIT,%{index},%{index}=percent index
RESULT_UNIT,%{inhibition},%{inhibition}=percent inhibition
RESULT_UNIT,%{loss_AChR},%{loss_AChR}=percent loss of acetylcholine receptor
RESULT_UNIT,%{loss},%{loss}=percent loss
RESULT_UNIT,%{lysis},%{lysis}=percent lysis
RESULT_UNIT,%{normal},%{normal}=percent normal
RESULT_UNIT,%{penetration},%{penetration}=percent penetration
RESULT_UNIT,%{pooled_plasma},%{pooled_plasma}=percent normal pooled plasma
RESULT_UNIT,%{positive},%{positive}=percent positive
RESULT_UNIT,%{RBCs},%{RBCs}=percent of red blood cells
RESULT_UNIT,%{reactive},%{reactive}=percent reactive
RESULT_UNIT,%{recovery},%{recovery}=percent recovery
RESULT_UNIT,%{reference},%{reference}=percent reference
RESULT_UNIT,%{relative},%{relative}=relative percent
RESULT_UNIT,%{residual},%{residual}=percent residual
RESULT_UNIT,%{response},%{response}=percent response
